,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
H14_2,H14_2,H14,HeartF147,H14,R210,Heart,P_1B_4,F,1B,147,1,JC,2,2,H14_CKDL240007484-1A_22553JLT4_L6.featureCounts
H19_2,H19_2,H19,SpleenM147,H19,RNA336,Spleen,P_1B_8,M,1B,147,2,EC,2,2,H19_CKDL240007484-1A_22553JLT4_L6.featureCounts
I11_2,I11_2,I11,SpinalCordM147,I11,RNA447,SpinalCord,P_1B_8,M,1B,147,2,EC,2,2,I11_CKDL240007484-1A_22553JLT4_L6.featureCounts
I16_2,I16_2,I16,EyeM147,I16,651,Eye,P_1B_11,M,1B,147,NA,MRW,2,2,I16_CKDL240007484-1A_22553JLT4_L6.featureCounts
I18_2,I18_2,I18,SpleenF147,I18,RNA321,Spleen,P_1B_4,F,1B,147,1,JC,2,2,I18_CKDL240007484-1A_22553JLT4_L6.featureCounts
J16_2,J16_2,J16,EyeF147,J16,652,Eye,J_1B_7,F,1B,147,NA,MRW,2,2,J16_CKDL240007484-1A_22553JLT4_L6.featureCounts
J20_2,J20_2,J20,EyeM147,J20,660,Eye,P_1B_8,M,1B,147,NA,MRW,2,2,J20_CKDL240007484-1A_22553JLT4_L6.featureCounts
J23_2,J23_2,J23,BrainM147,J23,R64,Brain,P_1B_8,M,1B,147,2,IG,2,2,J23_CKDL240007484-1A_22553JLT4_L6.featureCounts
K07_2,K07_2,K07,FatF147,K07,RNA559,Fat,J_1B_7,F,1B,147,3,EC,2,2,K7_CKDL240007484-1A_22553JLT4_L6.featureCounts
L03_2,L03_2,L03,BoneM147,L03,RNA615,Bone,P_1B_8,M,1B,147,3,EC,2,2,L3_CKDL240007484-1A_22553JLT4_L6.featureCounts
L16_2,L16_2,L16,EyeM147,L16,654,Eye,P_1B_11,M,1B,147,NA,MRW,2,2,L16_CKDL240007484-1A_22553JLT4_L6.featureCounts
