Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
G3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3192124	4749869	0	59.56572255527695	32172	7974165	0	0	0	0	0	0	0
G5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3834986	11691347	0	74.99159889389551	63876	15590209	0	0	0	0	0	0	0
G6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3559403	7379168	0	67.34010101606498	19488	10958059	0	0	0	0	0	0	0
G7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1027781	12108363	0	92.05552268680941	17182	13153326	0	0	0	0	0	0	0
G9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4722933	13221930	0	73.21162007785324	115016	18059879	0	0	0	0	0	0	0
H10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3021378	11522451	0	78.73601323686306	90454	14634283	0	0	0	0	0	0	0
H11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4070994	12275402	0	74.56399109051748	116513	16462909	0	0	0	0	0	0	0
H13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4414243	10322940	0	69.80100680913692	51916	14789099	0	0	0	0	0	0	0
H14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5329886	8746330	0	61.962475789958106	39311	14115527	0	0	0	0	0	0	0
H15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4502205	9700915	0	68.07844058091679	46494	14249614	0	0	0	0	0	0	0
