Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
G17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12388038	0	0	0	0	0	3338216	0	78.33766071486501	15813643	87389
G18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11047963	0	0	0	0	0	3063310	0	77.78322556316813	14203529	92256
G19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12730841	0	0	0	0	0	3624852	0	77.3174840329901	16465669	109976
G1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14120324	0	0	0	0	0	2697546	0	83.65276463081126	16879686	61816
G20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9243537	0	0	0	0	0	2925174	0	75.4854761984675	12245451	76740
G21_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14350284	0	0	0	0	0	3035702	0	82.02874859246312	17494213	108227
G23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	17728987	0	0	0	0	0	3010274	0	85.10487434937014	20831929	92668
G24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13571651	0	0	0	0	0	2564374	0	83.62814367674686	16228569	92544
G2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10812450	0	0	0	0	0	1868039	0	84.98838414660027	12722268	41779
G3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13492331	0	0	0	0	0	2480659	0	84.17573655861821	16028765	55775
G4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10044813	0	0	0	0	0	1721987	0	85.06734206905242	11808072	41272
G5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14653805	0	0	0	0	0	1138397	0	92.48637600245135	15844285	52083
G6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12981068	0	0	0	0	0	1112276	0	91.79580606881588	14141243	47899
G7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11393476	0	0	0	0	0	1510699	0	87.98859509097747	12948810	44635
