Sample	Unique Reads	Duplicate Reads
L21_ME_2_val_2	10046827.0	5914226.0
L22_ME_1_val_1	11084308.0	6132675.0
L22_ME_2_val_2	10891922.0	6325061.0
L23_ME_1_val_1	10189690.0	7106146.0
L23_ME_2_val_2	9848178.0	7447658.0
L2_ME_1_val_1	8592186.0	7782506.0
L2_ME_2_val_2	8461907.0	7912785.0
L3_ME_1_val_1	8692104.0	11082972.0
L3_ME_2_val_2	8205071.0	11570005.0
L4_ME_1_val_1	5794400.0	6076242.0
L4_ME_2_val_2	5666475.0	6204167.0
L5_ME_1_val_1	4890849.0	13038950.0
L5_ME_2_val_2	4740981.0	13188818.0
L6_ME_1_val_1	4657048.0	12159386.0
L6_ME_2_val_2	4563238.0	12253196.0
L7_ME_1_val_1	8746691.0	11624222.0
L7_ME_2_val_2	8391128.0	11979785.0
L8_ME_1_val_1	8945521.0	8024138.0
L8_ME_2_val_2	8721216.0	8248443.0
L9_ME_1_val_1	8638967.0	7294206.0
L9_ME_2_val_2	8467414.0	7465759.0
M10_ME_1_val_1	11667939.0	9815771.0
M10_ME_2_val_2	11475441.0	10008269.0
M11_ME_1_val_1	10686820.0	9338153.0
M11_ME_2_val_2	10456740.0	9568233.0
M12_ME_1_val_1	4030224.0	4016103.0
M12_ME_2_val_2	3956792.0	4089535.0
M13_ME_1_val_1	8462629.0	10077156.0
M13_ME_2_val_2	8267121.0	10272664.0
M14_ME_1_val_1	9771973.0	9550083.0
M14_ME_2_val_2	9569266.0	9752790.0
M15_ME_1_val_1	9681651.0	12012103.0
M15_ME_2_val_2	9125268.0	12568486.0
M16_ME_1_val_1	8348757.0	7523332.0
M16_ME_2_val_2	8147109.0	7724980.0
M17_ME_1_val_1	8736199.0	7278731.0
M17_ME_2_val_2	8599534.0	7415396.0
M18_ME_1_val_1	12201361.0	10126296.0
M18_ME_2_val_2	11914865.0	10412792.0
M19_ME_1_val_1	11848779.0	8275286.0
M19_ME_2_val_2	11610633.0	8513432.0
M1_ME_1_val_1	10068765.0	12286598.0
M1_ME_2_val_2	9754762.0	12600601.0
M20_ME_1_val_1	7965748.0	10205495.0
M20_ME_2_val_2	7685437.0	10485806.0
M21_ME_1_val_1	10285839.0	6179433.0
M21_ME_2_val_2	10077088.0	6388184.0
M22_ME_1_val_1	11875522.0	8012952.0
M22_ME_2_val_2	11572741.0	8315733.0
M23_ME_1_val_1	11256514.0	7516401.0
M23_ME_2_val_2	11080422.0	7692493.0
M2_ME_1_val_1	10381182.0	9753350.0
M2_ME_2_val_2	10108590.0	10025942.0
M3_ME_1_val_1	8626868.0	9109493.0
M3_ME_2_val_2	8353768.0	9382593.0
M4_ME_1_val_1	6301990.0	7164773.0
M4_ME_2_val_2	6111232.0	7355531.0
M5_ME_1_val_1	6155215.0	14519592.0
M5_ME_2_val_2	5881534.0	14793273.0
